chunk	speaker	trigger	Word	start_time_mod	end_time_mod	video_link	handedness_left	handedness_right	handedness_both	shape_straight	shape_arced	direction_upward	direction_downward	directon_leftward	direction_rightward	axis_vertical	axis_horizontal
105	fallon	from-to	with	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	Mexico	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	that	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	players	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	can	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	either	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	travel	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	from	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	the	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	u.s.	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	to	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	Mexico	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	by	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	plane	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
105	fallon	from-to	or	00:02:25	00:02:40	https://www.youtube.com/watch?v=JY-Nhs__4xk	0	0	0	0	0	0	0	0	0	0	0
